epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2647.39,1.04854,0.66232,1.02373,0.72286,0.57717,0.60594,0.27375,1.89337,1.04154,1.59175,0.000733371,0.000733371,0.000733371
105,2672.26,0.96825,0.60203,1.00968,0.76612,0.58415,0.634,0.2677,1.86168,0.98067,1.58016,0.000729705,0.000729705,0.000729705
106,2697,1.00268,0.63723,1.03623,0.72804,0.60055,0.63303,0.26433,1.85603,0.97888,1.5593,0.000726038,0.000726038,0.000726038
107,2721.85,0.97844,0.63847,1.00993,0.70377,0.63969,0.60601,0.25745,1.88998,1.00211,1.58239,0.000722372,0.000722372,0.000722372
108,2746.68,0.93609,0.59841,0.98671,0.69152,0.641,0.61033,0.25948,1.88149,1.00618,1.59312,0.000718706,0.000718706,0.000718706
109,2771.57,0.9904,0.6501,1.00245,0.70344,0.60861,0.61115,0.25956,1.87987,0.98971,1.59459,0.00071504,0.00071504,0.00071504
110,2796.5,0.93912,0.58544,1.00384,0.68407,0.61414,0.61382,0.27029,1.92294,1.03094,1.58506,0.000711373,0.000711373,0.000711373
111,2821.37,0.93732,0.6085,0.99701,0.63171,0.66417,0.6271,0.26829,1.9079,1.06831,1.58049,0.000707707,0.000707707,0.000707707
112,2846.35,0.97326,0.59731,1.00044,0.59903,0.62063,0.5886,0.26052,1.88486,1.0429,1.58025,0.000704041,0.000704041,0.000704041
113,2871.5,0.92448,0.57229,0.99217,0.58525,0.64312,0.57889,0.24939,1.90018,1.05518,1.60344,0.000700374,0.000700374,0.000700374
114,2896.77,0.94403,0.58749,1.00271,0.6565,0.54259,0.56909,0.24833,1.91471,1.1002,1.60676,0.000696708,0.000696708,0.000696708
115,2922.29,0.9394,0.59264,0.97928,0.59859,0.53558,0.52373,0.24028,1.85982,1.14321,1.5895,0.000693042,0.000693042,0.000693042
116,2947.32,0.96715,0.58776,0.98637,0.56981,0.56707,0.51718,0.22871,1.85798,1.14506,1.58052,0.000689376,0.000689376,0.000689376
117,2972.31,0.93729,0.56314,0.97872,0.60077,0.54659,0.52834,0.24139,1.85711,1.13476,1.58867,0.000685709,0.000685709,0.000685709
118,2997.17,0.93876,0.59906,0.98112,0.56974,0.59457,0.56876,0.25707,1.8565,1.09258,1.59697,0.000682043,0.000682043,0.000682043
119,3022.15,0.95238,0.61341,0.99699,0.60459,0.63315,0.58168,0.26546,1.84937,1.05135,1.62885,0.000678377,0.000678377,0.000678377
120,3046.96,0.94681,0.60211,0.99387,0.62954,0.64663,0.61807,0.3013,1.81955,1.02184,1.61385,0.00067471,0.00067471,0.00067471
121,3072.08,0.91688,0.59855,0.98949,0.6091,0.61227,0.65672,0.30647,1.80751,0.91791,1.59118,0.000671044,0.000671044,0.000671044
122,3096.95,0.87196,0.57758,0.96546,0.66033,0.608,0.64362,0.31635,1.81775,0.89829,1.61138,0.000667378,0.000667378,0.000667378
123,3122.19,0.89303,0.56886,0.96174,0.61224,0.6443,0.65125,0.29865,1.86407,0.93349,1.65698,0.000663711,0.000663711,0.000663711
124,3147.03,0.89871,0.57638,0.98227,0.68188,0.60987,0.65226,0.28917,1.88679,0.94395,1.68049,0.000660045,0.000660045,0.000660045
125,3171.89,0.90204,0.57262,0.99819,0.57975,0.65164,0.60099,0.26548,1.89639,0.96684,1.64014,0.000656379,0.000656379,0.000656379
126,3196.96,0.8931,0.57401,0.95645,0.58682,0.61069,0.5774,0.27059,1.864,0.98778,1.62204,0.000652712,0.000652712,0.000652712
127,3222.14,0.90189,0.5642,0.97417,0.499,0.64201,0.56854,0.2691,1.86804,1.03981,1.62617,0.000649046,0.000649046,0.000649046
128,3247.41,0.88486,0.55955,0.95216,0.57468,0.57346,0.58961,0.27009,1.89653,1.07664,1.62773,0.00064538,0.00064538,0.00064538
129,3272.79,0.87373,0.53846,0.96411,0.60804,0.55322,0.5941,0.26879,1.91241,1.08822,1.64485,0.000641714,0.000641714,0.000641714
130,3297.46,0.88498,0.52947,0.95392,0.60628,0.57509,0.58432,0.26753,1.87182,1.0719,1.62176,0.000638047,0.000638047,0.000638047
131,3322.15,0.88041,0.57449,0.9591,0.72467,0.56449,0.58377,0.26892,1.79897,1.03469,1.57304,0.000634381,0.000634381,0.000634381
